state,population,total_cases,cases_rate,cases_rate_last_60_days,total_deaths,deaths_rate,deaths_rate_last_60_days
AGUASCALIENTES,1434635,26694,1860.6823338340412,55.27538363416478,2456,171.19336974212953,5.92485196583103
BAJA CALIFORNIA,3634868,50278,1383.213915883603,64.62407988405631,8648,237.91785561401406,4.786968880300468
BAJA CALIFORNIA SUR,804708,36223,4501.384353082112,778.6675415181656,1486,184.6632567341197,14.415166743713247
CAMPECHE,1000617,11081,1107.4167238813652,162.6996143379535,1265,126.42199762746387,5.596546930543854
CHIAPAS,5730367,12050,210.28321571724814,19.10872375189931,1654,28.863770854467084,0.7154864601167779
CHIHUAHUA,3801487,57483,1512.1188103497395,119.50586704623744,7493,197.10707941392405,10.75894774860469
COAHUILA,3218720,69382,2155.577372371626,41.755728985435205,6376,198.09116667495155,2.081572799125118
COLIMA,785153,12203,1554.2193687090287,130.547804058572,1210,154.1100906447533,4.330366183406292
DISTRITO FEDERAL,9018645,673343,7466.121573695384,360.1871456299699,34458,382.07513434667845,7.096409715650188
DURANGO,1868996,34588,1850.6192629625746,63.40302493959324,2495,133.49413267872163,3.6918217053434037
GUANAJUATO,6228175,132650,2129.8373921734697,36.63994669385494,11079,177.88517503120897,1.8785599312800298
GUERRERO,3657048,41608,1137.7482603455028,60.59532169115637,4547,124.33525619570759,4.757935908962639
HIDALGO,3086414,39375,1275.7523780024326,39.236473136785925,6268,203.0835785477904,4.730408817482036
JALISCO,8409693,88130,1047.9573986826867,34.42456222837148,12604,149.8746743787199,3.139234690255637
MEXICO,17427790,256656,1472.6824227282978,48.88169985982158,37207,213.49235904265544,4.171498508990526
MICHOACAN,4825401,49057,1016.6408967876453,32.34964306593379,5938,123.05713038149575,5.222363903020702
MORELOS,2044058,34213,1673.7783370139202,96.42583527473292,3536,172.98922046243305,8.218944863599761
NAYARIT,1288571,12532,972.550212599849,64.10201688537147,1868,144.9667887916149,5.277163617681913
NUEVO LEON,5610153,126068,2247.140140384763,84.06187852630757,9692,172.7582117635651,3.6719141171372685
OAXACA,4143593,47967,1157.6185209309892,46.07112715944833,3896,94.02467858209047,2.847770039190625
PUEBLA,6604451,85945,1301.319367802108,43.576672762050926,12171,184.2848103498686,8.040032396333928
QUERETARO,2279637,69561,3051.406868725152,96.1556598704092,4452,195.2942507951924,6.272928540815928
QUINTANA ROO,1723259,30675,1780.0574376805807,459.9424694720875,2940,170.60697202219745,19.439910077359237
SAN LUIS POTOSI,2866142,65040,2269.2525352895987,80.7008166378358,5428,189.38349879384901,3.5239007697455325
SINALOA,3156674,41019,1299.4373191530074,101.6893096974854,6362,201.5412424596268,6.2407457976338385
SONORA,3074745,77824,2531.0716823671555,154.28921747982352,6739,219.17264683738,4.683315201748438
TABASCO,2572287,73463,2855.94103612855,390.54740003739863,4234,164.6006063864569,6.764408481635213
TAMAULIPAS,3650602,63122,1729.0846824715486,189.9138826966073,5167,141.53829971056828,7.231683979792921
TLAXCALA,1380011,20111,1457.3072243627043,42.39096644881816,2525,182.9695560397707,2.898527620432011
VERACRUZ,8539862,63649,745.3164934046944,45.69160485263111,10063,117.83562778883312,2.9742869381261663
YUCATAN,2259098,44329,1962.2433378277526,329.4677787329279,4098,181.39983303070517,14.784661842912525
ZACATECAS,1666426,30964,1858.1083108400853,70.87023366174076,2832,169.94453999157477,4.140597902337097
