cve_ent,state,pct_pop_obesity,pct_pop_hypertension,pct_pop_diabetes
1,Aguascalientes,32.5933866314846,14.7005662350609,7.55647792941045
2,Baja California,48.3669952599269,21.0077116050251,9.9748483286637
3,Baja California Sur,42.8491180329462,16.5369113279593,8.3697496817989
4,Campeche,44.9038106280785,26.1081540457128,14.0079169834951
5,Coahuila de Zaragoza,37.606715494255,22.3975506822411,12.3438058099958
6,Colima,43.1901103234958,17.2229312056167,10.8273261361938
7,Chiapas,28.9546146639838,16.2328036769217,7.79036305495578
8,Chihuahua,38.6672017017746,22.6022007897054,9.25005776298834
9,Ciudad de México,36.3397995184931,20.2074742248511,12.6655360912705
10,Durango,37.5827020323626,20.2497377617164,10.9002506069187
11,Guanajuato,30.0125562426704,18.3592006134668,9.88558374398441
12,Guerrero,34.7073715977162,17.9058501288685,11.131146810083
13,Hidalgo,31.1690442945712,17.9475777538187,12.833803630661
14,Jalisco,34.82914294284,13.9997969393287,7.59227740035884
15,México,32.7294525121671,15.5282041006967,8.95853031898105
16,Michoacán de Ocampo,31.6441699704732,19.1514373796333,9.92968865493776
17,Morelos,33.4678312401498,17.4533316703194,11.9898110697337
18,Nayarit,36.99086827749,18.1166216334002,9.55181731020657
19,Nuevo León,41.4210063210658,19.2202922620374,12.6255651726493
20,Oaxaca,30.4975071120566,17.0901829452366,10.5104090332916
21,Puebla,32.870185410681,15.3911395487264,8.98987704675404
22,Querétaro,30.6095409604416,17.9619172685489,7.50978687157282
23,Quintana Roo,48.9383086219129,13.3328649748518,7.40578839043404
24,San Luis Potosí,32.6232674152729,19.1854046543443,10.8467599599685
25,Sinaloa,39.949729594287,16.1921012476527,10.6875213474115
26,Sonora,43.8528856905069,24.6028774308894,11.2283897518933
27,Tabasco,47.2567321647202,21.9659878621168,12.1494605771853
28,Tamaulipas,40.8672409226396,18.440579538384,12.7738634904645
29,Tlaxcala,32.3173655414681,13.03469797764,9.29405566266595
30,Veracruz de Ignacio de la Llave,38.9789731732026,23.6380057073242,11.9198549097504
31,Yucatán,45.1666441833832,21.6814468356291,10.678974197956
32,Zacatecas,33.4586719086714,18.8842019994468,10.882759710752
