cve_ent,state,retail_and_recreation_mobility,grocery_and_pharmacy_mobility,parks_percent_mobility,transit_stations_mobility,workplaces_mobility,residential_mobility
1,AGUASCALIENTES,25.42581888246628,-0.7167630057803468,26.26782273603083,33.957610789980734,17.951830443159924,-9.001926782273603
2,BAJA CALIFORNIA,23.98073217726397,-4.48747591522158,24.398843930635838,19.418111753371868,17.33718689788054,-8.79961464354528
3,BAJA CALIFORNIA SUR,29.959537572254334,7.40655105973025,29.190751445086704,23.556840077071293,23.728323699421967,-9.028901734104046
4,CAMPECHE,33.08477842003854,6.94990366088632,40.76685934489403,30.210019267822737,22.940269749518304,-11.789980732177264
5,COAHUILA,22.452793834296724,0.6358381502890174,29.102119460500962,23.63005780346821,16.30635838150289,-8.344894026974952
6,COLIMA,25.815028901734102,3.046242774566474,24.45086705202312,24.95761078998073,16.495183044315993,-7.880539499036609
7,CHIAPAS,25.229287090558767,2.6647398843930636,33.641618497109825,30.502890173410403,18.05009633911368,-9.16184971098266
8,CHIHUAHUA,26.822736030828516,-0.28901734104046245,25.277456647398843,34.238921001926784,16.64547206165703,-8.842003853564547
9,DISTRITO FEDERAL,40.385356454720615,9.260115606936417,41.115606936416185,38.18111753371869,31.10597302504817,-15.146435452793835
10,DURANGO,23.691714836223507,0.348747591522158,27.082851637764932,6.641618497109826,16.552986512524086,-8.038535645472061
11,GUANAJUATO,28.165703275529864,0.6782273603082851,33.163776493256265,23.97495183044316,16.572254335260116,-8.585741811175337
12,GUERRERO,29.277456647398843,8.294797687861271,30.813102119460503,29.28131021194605,22.37957610789981,-9.308285163776493
13,HIDALGO,24.8766859344894,-1.1290944123314066,35.227360308285164,38.73025048169557,19.33140655105973,-10.957610789980732
14,JALISCO,25.597302504816955,1.0327552986512525,28.46820809248555,18.79383429672447,19.797687861271676,-8.458574181117534
15,MEXICO,24.396917148362235,-1.0732177263969171,29.560693641618496,31.2504816955684,21.391136801541425,-11.631984585741812
16,MICHOACAN,24.015414258188823,0.7880539499036608,22.356454720616572,20.5009633911368,17.556840077071293,-6.628131021194605
17,MORELOS,25.05009633911368,-0.13102119460500963,30.03082851637765,33.91907514450867,17.786127167630056,-10.113680154142582
18,NAYARIT,31.09826589595376,6.391136801541426,32.70905587668594,20.02504816955684,20.761078998073216,-8.998073217726397
19,NUEVO LEON,29.314065510597302,1.928709055876686,35.8747591522158,36.179190751445084,23.063583815028903,-10.932562620423893
20,OAXACA,28.90173410404624,11.554913294797688,39.12138728323699,24.897880539499038,19.8747591522158,-10.495183044315992
21,PUEBLA,33.102119460500965,1.300578034682081,37.27167630057804,22.672447013487474,23.159922928709054,-11.739884393063583
22,QUERETARO,28.576107899807322,4.366088631984586,33.8131021194605,7.890173410404624,19.73217726396917,-10.716763005780347
23,QUINTANA ROO,34.308285163776496,10.321772639691714,43.03853564547206,42.29287090558767,26.730250481695567,-12.847784200385357
24,SAN LUIS POTOSI,25.167630057803468,2.0289017341040463,26.377649325626205,21.366088631984585,18.928709055876684,-9.148362235067438
25,SINALOA,27.196531791907514,3.3641618497109826,22.3121387283237,29.695568400770714,22.134874759152215,-10.558766859344894
26,SONORA,27.240847784200387,4.936416184971098,29.77456647398844,25.113680154142582,22.73795761078998,-9.853564547206165
27,TABASCO,31.822736030828516,5.518304431599229,29.366088631984585,18.77456647398844,20.387283236994218,-9.959537572254336
28,TAMAULIPAS,24.61078998073218,1.7957610789980731,32.5626204238921,28.766859344894026,19.921001926782274,-9.048169556840078
29,TLAXCALA,22.294797687861273,-2.529865125240848,26.94990366088632,25.603082851637765,17.171483622350674,-11.019267822736031
30,VERACRUZ,25.208092485549134,0.7263969171483622,32.310211946050096,33.12138728323699,18.934489402697494,-8.913294797687861
31,YUCATAN,39.42774566473989,13.0,44.83044315992293,54.0635838150289,23.21194605009634,-14.20038535645472
32,ZACATECAS,29.66859344894027,3.649325626204239,33.886319845857415,27.29865125240848,18.269749518304433,-7.034682080924855
